order_id,customer_id,order_date,status,channel,total_amount,shipping_cost
64,691,2024-08-22,Entregue,Marketplace,15912.23,43.87
65,860,2024-10-03,Entregue,Website,14391.36,34.53
66,886,2026-04-04,Entregue,Website,12958.8,37.12
67,934,2026-01-05,Entregue,Marketplace,8384.28,37.76
68,960,2024-10-09,Entregue,Website,11972.91,2.0
69,980,2024-11-14,Entregue,Website,14366.85,26.03
70,575,2025-08-16,Entregue,Website,7762.15,5.74
71,554,2024-10-09,Entregue,Marketplace,16867.41,1.24
72,642,2026-03-11,Entregue,Website,12506.61,10.54
73,760,2026-06-23,Entregue,Marketplace,4216.77,32.33
74,340,2024-12-23,Entregue,Website,3200.26,4.38
75,589,2026-02-01,Entregue,Website,8335.41,45.55
76,367,2025-10-12,Entregue,Website,8174.09,14.49
77,817,2025-12-08,Entregue,Marketplace,2238.64,48.01
78,587,2025-10-21,Entregue,Marketplace,87.88,26.86
79,926,2025-12-20,Entregue,Marketplace,11642.25,10.59
80,499,2025-01-25,Entregue,Marketplace,10720.23,17.86
81,632,2026-02-08,Entregue,Marketplace,3126.6,34.67
82,657,2025-11-28,Entregue,Marketplace,11137.32,13.83
83,862,2026-07-29,Entregue,Website,3963.99,44.56
84,833,2025-06-03,Entregue,Marketplace,12076.11,38.46
85,794,2026-03-04,Entregue,Website,4511.54,18.29
86,515,2024-08-21,Entregue,Website,14820.6,33.13
87,500,2025-06-02,Entregue,Website,10680.55,3.14
88,41,2025-06-11,Entregue,Marketplace,6371.79,5.16
89,362,2026-07-05,Entregue,Marketplace,15299.6,24.34
90,122,2024-08-14,Entregue,Website,6384.09,20.73
91,165,2026-07-14,Enviado,Website,8921.82,44.54
92,614,2025-09-17,Entregue,Website,14565.58,43.93
93,786,2024-12-02,Entregue,Website,4875.68,31.16
94,630,2025-01-31,Entregue,Website,24377.5,43.89
95,440,2025-05-18,Entregue,Website,9385.66,46.92
96,194,2026-08-03,Enviado,Website,536.49,28.9
97,211,2025-02-22,Entregue,Marketplace,8389.32,20.44
98,260,2026-06-09,Entregue,Marketplace,4806.22,42.75
99,315,2025-08-13,Entregue,Marketplace,18889.42,38.71
100,701,2026-08-03,Enviado,Website,3347.94,19.46
101,615,2025-02-08,Entregue,Marketplace,12476.89,4.41
102,987,2025-04-25,Entregue,Website,4860.42,47.29
103,531,2026-02-06,Entregue,Marketplace,12991.6,9.74
104,206,2025-12-23,Entregue,Website,10022.29,36.85
105,850,2026-04-21,Entregue,Marketplace,3738.08,17.37
106,970,2024-10-08,Entregue,Website,4494.08,40.15
107,919,2025-08-17,Entregue,Website,7111.32,24.1
108,10,2025-12-17,Entregue,Marketplace,1453.88,12.41
109,351,2026-01-06,Entregue,Website,8135.71,27.73
110,970,2025-07-20,Entregue,Website,186.79,24.95
111,365,2025-07-04,Entregue,Website,10024.39,38.95
112,505,2024-09-19,Entregue,Website,18819.61,38.21
113,490,2025-02-26,Entregue,Website,9140.6,25.12
114,276,2026-01-16,Entregue,Marketplace,8419.15,47.93
115,287,2024-11-21,Entregue,Marketplace,4937.88,8.99
116,877,2024-10-14,Entregue,Marketplace,4918.32,9.8
117,870,2026-02-13,Entregue,Marketplace,4399.69,39.27
118,645,2026-03-26,Entregue,Website,3977.0,22.49
119,665,2025-09-20,Entregue,Website,8184.95,48.97
120,475,2024-10-11,Entregue,Website,5050.18,43.41
121,661,2026-06-15,Entregue,Marketplace,6311.16,13.56
122,216,2025-04-23,Entregue,Website,2406.89,19.85
123,27,2026-06-23,Entregue,Marketplace,7640.76,26.2
124,87,2025-08-20,Entregue,Marketplace,1416.82,15.47
125,882,2026-06-29,Entregue,Marketplace,19669.21,43.21
126,656,2025-11-07,Entregue,Marketplace,13814.79,45.45
127,481,2025-04-16,Entregue,Website,9649.55,34.39
128,256,2026-08-04,Enviado,Marketplace,10265.6,41.42
129,932,2026-05-17,Entregue,Marketplace,10209.31,14.23
130,548,2025-03-19,Entregue,Website,262.51,9.3
131,9,2026-06-02,Entregue,Website,1039.35,4.51
132,320,2026-01-17,Entregue,Marketplace,16963.02,49.9
133,849,2026-04-27,Entregue,Website,2396.8,6.1
134,97,2026-03-10,Entregue,Website,13278.96,23.64
135,885,2025-10-14,Entregue,Website,2763.9,48.66
136,249,2025-04-08,Entregue,Website,19379.23,48.44
137,572,2025-10-14,Entregue,Marketplace,13062.57,40.28
138,581,2025-01-29,Entregue,Website,2433.61,27.18
139,465,2024-10-16,Entregue,Website,12877.33,38.8
140,114,2024-12-12,Entregue,Website,3700.33,26.16
141,110,2025-06-02,Entregue,Marketplace,4147.96,9.58
142,639,2025-01-30,Entregue,Marketplace,4681.56,2.45
143,655,2025-10-14,Entregue,Website,8666.42,18.05
144,198,2026-02-28,Entregue,Website,12993.63,28.5
145,682,2025-10-02,Entregue,Marketplace,5318.45,44.14
146,615,2025-02-28,Entregue,Marketplace,8084.81,46.68
147,220,2024-09-19,Entregue,Marketplace,4423.73,38.29
148,7,2025-12-12,Entregue,Marketplace,11176.7,49.22
149,585,2025-03-02,Entregue,Website,13474.8,4.71
150,741,2025-01-22,Entregue,Marketplace,6951.45,39.65
151,591,2026-01-04,Entregue,Marketplace,1549.04,3.92
152,445,2025-11-06,Entregue,Marketplace,1168.12,46.51
153,617,2025-04-11,Entregue,Website,12068.8,31.69
154,403,2025-12-24,Entregue,Marketplace,11745.06,37.64
155,573,2025-10-22,Entregue,Website,4961.99,24.39
156,789,2026-06-12,Entregue,Marketplace,17557.26,8.46
157,249,2026-04-05,Entregue,Website,12964.73,43.44
158,209,2026-02-21,Entregue,Marketplace,26842.03,27.44
159,676,2025-03-16,Entregue,Marketplace,483.67,43.21
160,390,2026-05-19,Entregue,Website,15869.24,45.19
161,403,2024-09-30,Entregue,Website,2934.81,0.92
162,835,2026-07-04,Entregue,Website,7297.07,47.21
163,628,2024-09-21,Entregue,Website,18915.5,20.87
164,441,2026-02-11,Entregue,Website,10213.67,32.81
165,957,2025-01-06,Entregue,Marketplace,15472.58,7.6
166,581,2024-08-30,Entregue,Website,3436.1,29.82
167,481,2025-09-22,Entregue,Marketplace,9634.27,9.2
168,688,2025-02-19,Entregue,Website,3233.77,37.89
169,502,2026-01-09,Entregue,Marketplace,2078.55,43.34
170,404,2025-06-14,Entregue,Website,12386.02,26.03
171,408,2026-01-02,Entregue,Marketplace,2908.19,38.68
172,662,2026-07-17,Entregue,Website,4829.95,36.13
173,713,2024-10-05,Entregue,Website,11232.82,19.65
174,665,2025-09-23,Entregue,Website,3364.4,35.92
175,650,2024-10-11,Entregue,Marketplace,15352.6,4.27
176,748,2026-03-20,Entregue,Marketplace,5589.42,14.44
177,876,2025-03-27,Entregue,Marketplace,1062.02,27.18
178,676,2026-05-18,Entregue,Marketplace,13518.61,22.69
179,684,2026-03-19,Entregue,Marketplace,3296.63,16.56
180,183,2025-11-08,Entregue,Website,12243.23,33.6
181,338,2026-03-01,Entregue,Marketplace,21288.28,26.23
182,90,2026-04-08,Entregue,Marketplace,9260.53,36.2
183,185,2025-05-26,Entregue,Website,5246.87,35.43
184,213,2026-07-20,Entregue,Marketplace,8979.66,2.27
185,786,2026-04-27,Entregue,Website,5962.5,5.69
186,662,2026-01-31,Entregue,Website,6182.62,24.07
187,702,2024-11-29,Entregue,Marketplace,9777.49,39.98
188,399,2024-11-06,Entregue,Website,10883.66,29.76
189,310,2025-11-05,Entregue,Website,951.49,5.61
190,26,2025-12-31,Entregue,Marketplace,4254.69,45.25
191,336,2025-02-13,Entregue,Website,1561.24,38.47
192,211,2025-05-30,Entregue,Website,28099.9,22.97
193,329,2026-02-26,Entregue,Website,8954.27,9.63
194,212,2025-10-28,Entregue,Marketplace,3819.44,27.47
195,692,2026-04-29,Entregue,Website,6662.26,5.3
196,722,2024-12-31,Entregue,Marketplace,3602.99,30.82
197,942,2025-10-31,Entregue,Marketplace,3818.15,4.86
198,339,2026-02-11,Entregue,Marketplace,2061.84,22.66
199,867,2025-06-02,Entregue,Website,19958.57,14.11
200,473,2026-06-03,Entregue,Marketplace,1659.23,29.53
201,711,2025-09-04,Entregue,Marketplace,6805.8,39.22
202,475,2025-03-01,Entregue,Marketplace,6558.41,27.75
203,143,2026-07-02,Entregue,Website,5280.26,37.85
204,211,2024-09-26,Entregue,Marketplace,9423.81,14.99
205,992,2024-12-02,Entregue,Website,9703.53,0.04
206,487,2025-08-20,Entregue,Website,11885.64,9.41
207,426,2026-06-01,Entregue,Marketplace,12234.74,44.68
208,949,2024-09-28,Entregue,Marketplace,4270.46,1.67
209,595,2024-12-03,Entregue,Marketplace,12601.41,48.09
210,880,2024-09-10,Entregue,Marketplace,1325.99,23.25
211,760,2026-03-04,Entregue,Website,13562.79,34.2
212,612,2024-09-13,Entregue,Marketplace,10362.75,36.35
213,879,2025-08-08,Entregue,Marketplace,4794.53,0.71
214,675,2025-01-14,Entregue,Marketplace,262.58,18.49
215,87,2025-07-16,Entregue,Website,3128.32,29.78
216,172,2025-10-03,Entregue,Website,8299.66,28.89
217,700,2026-05-24,Entregue,Marketplace,2679.78,23.73
218,324,2025-03-18,Entregue,Website,10662.24,4.87
219,694,2025-07-13,Entregue,Website,3258.86,15.66
220,107,2025-06-02,Entregue,Marketplace,12762.37,17.58
221,223,2025-11-11,Entregue,Website,8210.69,35.4
222,922,2024-09-27,Entregue,Website,430.36,44.8
223,945,2024-11-05,Entregue,Marketplace,3015.49,38.47
224,833,2025-03-23,Entregue,Marketplace,1043.74,8.9
225,183,2025-04-15,Entregue,Marketplace,14038.51,5.42
226,273,2026-01-27,Entregue,Website,13617.87,35.0
227,706,2025-05-08,Entregue,Marketplace,9093.74,6.06
228,991,2025-06-15,Entregue,Marketplace,14003.36,33.04
229,608,2025-02-23,Entregue,Website,2748.01,24.46
230,547,2025-09-06,Entregue,Marketplace,6218.59,48.33
231,44,2026-02-26,Entregue,Marketplace,12592.98,5.91
232,927,2026-01-26,Entregue,Marketplace,1317.3,41.04
233,838,2026-06-03,Entregue,Website,8536.2,5.71
234,281,2025-01-13,Entregue,Website,3700.56,37.88
235,868,2026-08-08,Entregue,Marketplace,984.85,38.88
236,92,2025-04-01,Entregue,Marketplace,26504.22,20.81
237,974,2026-02-17,Entregue,Website,6819.31,31.36
238,884,2025-01-11,Entregue,Website,6744.48,23.21
239,164,2024-10-23,Entregue,Website,4270.56,2.7
240,497,2025-05-22,Entregue,Website,5563.56,3.54
241,113,2025-02-25,Entregue,Marketplace,1986.13,11.39
242,497,2025-12-02,Entregue,Website,1440.69,44.52
243,199,2024-09-28,Entregue,Marketplace,5020.95,48.78
244,114,2025-11-29,Entregue,Marketplace,2689.66,22.93
245,928,2026-08-07,Processando,Website,7175.93,4.32
246,936,2025-03-21,Entregue,Website,7807.25,20.89
247,517,2025-09-09,Entregue,Website,16807.06,21.28
248,17,2025-03-07,Entregue,Marketplace,3011.47,33.45
249,416,2025-12-14,Entregue,Website,10420.61,39.49
250,277,2025-07-10,Entregue,Website,2357.06,39.38
251,528,2025-12-17,Entregue,Marketplace,2803.32,44.4
252,42,2024-12-24,Entregue,Marketplace,20732.81,18.32
253,274,2025-10-29,Entregue,Marketplace,1521.58,13.86
254,514,2026-06-30,Entregue,Website,6415.13,23.51
255,210,2024-12-16,Entregue,Website,20295.97,14.66
256,672,2025-05-27,Entregue,Marketplace,8592.56,24.31
257,293,2026-02-12,Entregue,Website,775.98,48.66
258,379,2025-04-15,Entregue,Website,3028.31,10.26
259,999,2024-09-14,Entregue,Website,3936.92,26.68
260,787,2025-04-05,Entregue,Website,24873.18,47.39
261,773,2025-03-18,Entregue,Website,9277.43,39.98
262,95,2025-06-15,Entregue,Marketplace,1697.94,2.75
263,981,2025-04-10,Entregue,Website,11095.75,48.79
264,13,2026-01-21,Entregue,Marketplace,15550.42,17.25
265,826,2025-12-05,Entregue,Marketplace,25259.69,36.43
266,91,2024-10-01,Entregue,Website,3838.72,20.47
267,44,2025-11-01,Entregue,Marketplace,2709.63,41.73
268,484,2025-06-14,Entregue,Website,4040.27,32.69
269,371,2024-09-28,Entregue,Marketplace,6776.78,28.28
270,150,2025-12-26,Entregue,Marketplace,2497.12,23.05
271,979,2024-11-08,Entregue,Marketplace,5857.47,2.44
272,557,2025-03-27,Entregue,Marketplace,8821.55,43.62
273,422,2026-03-19,Entregue,Marketplace,4738.05,46.05
274,573,2025-06-18,Entregue,Website,1746.72,20.87
275,492,2025-06-06,Entregue,Marketplace,11673.04,15.58
276,705,2026-05-03,Entregue,Website,11060.94,15.37
277,776,2025-09-04,Entregue,Marketplace,11681.67,2.13
278,61,2026-01-31,Entregue,Marketplace,12130.63,5.95
279,205,2025-07-12,Entregue,Website,3362.01,33.53
280,965,2026-01-18,Entregue,Marketplace,6537.15,47.44
281,782,2025-07-21,Entregue,Website,1153.36,26.44
282,872,2025-07-21,Entregue,Marketplace,15227.69,18.32
283,571,2025-02-10,Entregue,Website,10636.58,4.11
284,876,2026-02-13,Entregue,Marketplace,4278.23,9.44
285,14,2025-07-27,Entregue,Marketplace,7447.23,33.6
286,347,2026-03-24,Entregue,Website,9895.43,29.75
287,618,2026-01-26,Entregue,Marketplace,10527.58,49.38
288,392,2025-04-09,Entregue,Marketplace,10833.11,7.64
289,902,2025-06-06,Entregue,Website,4206.4,19.18
290,138,2025-11-04,Entregue,Marketplace,10606.82,35.79
291,632,2026-04-11,Entregue,Marketplace,15243.15,38.32
292,350,2026-05-31,Entregue,Marketplace,11301.43,4.87
293,890,2025-02-28,Entregue,Marketplace,5021.74,5.72
294,924,2026-06-01,Entregue,Marketplace,22268.39,13.33
295,993,2025-03-11,Entregue,Marketplace,917.94,10.09
296,49,2024-10-02,Entregue,Marketplace,17229.55,49.81
297,517,2025-07-31,Entregue,Marketplace,10196.68,21.65
298,219,2025-06-16,Entregue,Marketplace,15298.77,13.4
299,294,2026-03-17,Entregue,Website,15508.58,12.82
300,280,2025-02-18,Entregue,Website,10054.19,1.46
301,417,2024-11-19,Entregue,Marketplace,1475.05,33.58
302,242,2025-06-13,Entregue,Website,12889.17,28.55
303,110,2025-11-25,Entregue,Website,4978.99,10.71
304,487,2024-09-05,Entregue,Website,4463.04,48.17
305,621,2025-06-15,Entregue,Website,127.01,42.07
306,317,2025-04-06,Entregue,Marketplace,953.01,45.16
307,398,2025-05-26,Entregue,Website,10458.1,45.49
308,35,2025-08-14,Entregue,Marketplace,7004.79,43.32
309,561,2024-10-13,Entregue,Marketplace,9862.87,22.66
310,646,2025-01-07,Entregue,Marketplace,4486.12,39.55
311,114,2026-08-01,Enviado,Website,5871.12,25.82
312,608,2026-01-31,Entregue,Marketplace,6740.56,39.98
313,971,2026-05-03,Entregue,Website,6636.87,46.16
314,446,2026-07-05,Entregue,Marketplace,8847.88,41.36
315,844,2026-06-02,Entregue,Marketplace,2663.14,36.34
316,269,2026-06-02,Entregue,Website,1749.86,30.88
317,408,2026-03-31,Entregue,Website,18803.33,35.67
318,613,2025-04-29,Entregue,Website,13197.33,0.27
319,46,2026-05-19,Entregue,Website,3974.78,24.96
320,324,2026-07-07,Entregue,Marketplace,4456.81,38.18
321,168,2026-05-17,Entregue,Marketplace,13550.62,21.82
322,185,2026-01-21,Entregue,Website,6902.49,37.5
323,292,2025-06-17,Entregue,Website,37972.03,19.71
324,672,2025-07-01,Entregue,Marketplace,15648.85,16.25
325,167,2025-07-29,Entregue,Marketplace,13707.44,38.97
326,618,2025-06-30,Entregue,Website,1964.97,17.95
327,398,2024-10-03,Entregue,Marketplace,25432.13,13.42
328,538,2025-10-24,Entregue,Website,18105.45,14.54
329,47,2025-01-16,Entregue,Website,10699.54,25.53
330,722,2024-12-04,Entregue,Marketplace,4934.14,15.7
331,14,2025-12-21,Entregue,Website,5405.19,32.79
332,994,2026-08-03,Enviado,Website,3005.47,10.46
333,475,2024-12-26,Entregue,Website,1749.55,23.7
334,757,2024-11-30,Entregue,Marketplace,8366.55,48.19
335,869,2025-12-03,Entregue,Marketplace,17476.3,36.85
336,567,2025-02-14,Entregue,Website,7247.13,13.39
337,602,2025-03-19,Entregue,Marketplace,15346.88,46.09
338,89,2024-12-10,Entregue,Marketplace,2848.51,6.45
339,215,2024-09-10,Entregue,Website,4179.85,49.96
340,576,2025-06-19,Entregue,Website,12808.28,24.32
341,949,2024-09-15,Entregue,Marketplace,11461.79,39.95
342,879,2026-06-05,Entregue,Website,1323.89,41.18
343,211,2025-04-19,Entregue,Marketplace,7240.46,7.85
344,126,2025-08-07,Entregue,Website,12849.52,21.96
345,252,2026-02-12,Entregue,Website,14025.38,37.66
346,412,2026-05-01,Entregue,Website,27936.7,21.7
347,9,2026-05-28,Entregue,Marketplace,20120.67,45.01
348,87,2025-11-26,Entregue,Website,8088.45,26.87
349,248,2026-02-20,Entregue,Marketplace,9958.19,36.33
350,596,2026-04-10,Entregue,Website,15882.86,17.52
351,370,2024-11-03,Entregue,Marketplace,15725.16,4.9
352,893,2025-07-22,Entregue,Marketplace,6189.9,29.22
353,121,2025-06-05,Entregue,Website,2339.91,22.77
354,975,2025-01-22,Entregue,Website,18021.92,30.08
355,960,2026-06-04,Entregue,Marketplace,2485.91,44.45
356,587,2025-03-31,Entregue,Marketplace,16852.44,28.29
357,888,2025-03-11,Entregue,Marketplace,7849.13,4.47
358,661,2025-12-17,Entregue,Website,2869.84,32.2
359,776,2025-03-22,Entregue,Website,14210.38,47.86
360,827,2024-09-06,Entregue,Marketplace,1054.93,20.09
361,185,2026-05-19,Entregue,Marketplace,15371.57,1.2
362,306,2024-10-25,Entregue,Marketplace,2616.08,4.94
363,612,2026-07-04,Entregue,Website,13401.83,24.65
364,253,2025-12-23,Entregue,Website,11411.22,15.23
365,2,2025-09-25,Entregue,Marketplace,17178.88,48.06
366,166,2025-01-02,Entregue,Website,13713.01,15.03
367,252,2026-06-28,Entregue,Marketplace,23145.87,17.08
368,781,2025-11-06,Entregue,Marketplace,934.76,26.91
369,836,2026-05-07,Entregue,Marketplace,6699.24,33.61
370,227,2025-04-04,Entregue,Website,9593.54,37.92
371,927,2026-02-26,Entregue,Website,8989.56,0.36
372,764,2026-05-03,Entregue,Website,9987.32,6.37
373,666,2026-04-20,Entregue,Website,2671.11,42.69
374,906,2025-05-30,Entregue,Website,21194.74,2.35
375,77,2025-07-05,Entregue,Website,12686.22,9.84
376,861,2025-07-03,Entregue,Marketplace,6802.42,12.36
377,939,2025-06-05,Entregue,Website,4218.48,18.87
378,453,2025-03-16,Entregue,Website,17544.48,15.07
379,465,2024-10-04,Entregue,Marketplace,17334.58,23.21
380,130,2025-10-23,Entregue,Marketplace,12858.23,17.77
381,555,2025-11-25,Entregue,Website,1974.25,7.37
382,839,2025-12-13,Entregue,Website,5218.84,21.1
383,615,2026-05-29,Entregue,Marketplace,15902.15,42.6
384,493,2026-04-21,Entregue,Marketplace,11059.47,40.36
385,203,2026-05-29,Entregue,Marketplace,3058.07,8.71
386,141,2025-03-23,Entregue,Marketplace,805.3,32.74
387,246,2024-09-14,Entregue,Marketplace,2517.34,40.47
388,197,2025-11-15,Entregue,Marketplace,7278.0,34.72
389,55,2025-05-05,Entregue,Marketplace,16268.2,43.64
390,733,2025-09-21,Entregue,Marketplace,13308.78,23.69
391,138,2024-12-26,Entregue,Website,14745.86,14.75
392,272,2025-05-13,Entregue,Website,458.41,17.95
393,660,2024-10-19,Entregue,Website,9024.12,39.29
394,202,2026-02-25,Entregue,Marketplace,11911.29,12.5
395,842,2026-07-04,Entregue,Website,11386.42,23.6
396,440,2025-04-22,Entregue,Marketplace,14660.89,10.48
397,708,2026-05-08,Entregue,Marketplace,2973.06,16.3
398,339,2026-05-01,Entregue,Marketplace,3486.28,49.01
399,463,2026-07-26,Entregue,Website,18442.71,8.57
400,932,2026-04-19,Entregue,Marketplace,12618.39,19.56
401,761,2025-06-16,Entregue,Website,11072.83,19.45
402,163,2026-06-27,Entregue,Marketplace,15087.82,29.37
403,295,2024-08-24,Entregue,Marketplace,4900.94,17.34
404,403,2026-03-02,Entregue,Website,1270.05,11.98
405,740,2026-03-31,Entregue,Website,18713.94,45.44
406,655,2025-09-18,Entregue,Marketplace,13069.86,19.06
407,731,2025-12-06,Entregue,Marketplace,9680.23,7.01
408,694,2026-07-21,Entregue,Website,10462.55,22.03
409,857,2025-07-09,Entregue,Website,11530.21,19.53
410,205,2026-01-01,Entregue,Website,6971.98,0.8
411,697,2026-01-28,Entregue,Website,2019.68,11.03
412,111,2025-12-29,Entregue,Marketplace,2693.42,16.13
413,109,2025-01-03,Entregue,Marketplace,1457.64,16.17
414,399,2026-08-05,Processando,Marketplace,13637.92,11.0
415,811,2024-11-14,Entregue,Website,5274.72,12.6
416,695,2025-06-26,Entregue,Website,7337.77,16.6
417,239,2025-06-04,Entregue,Website,11456.64,11.63
418,337,2025-07-15,Entregue,Website,1029.09,13.91
419,296,2026-03-24,Entregue,Website,4484.5,11.45
420,623,2025-04-03,Entregue,Marketplace,4771.09,26.07
421,54,2025-10-26,Entregue,Website,11630.29,46.91
422,81,2026-05-02,Entregue,Marketplace,3446.02,36.25
423,884,2026-08-05,Enviado,Website,6691.67,47.55
424,840,2025-05-10,Entregue,Marketplace,6341.44,0.99
425,621,2025-06-05,Entregue,Marketplace,2230.4,3.6
426,743,2024-12-08,Entregue,Marketplace,6588.79,24.57
427,981,2026-05-26,Entregue,Marketplace,6488.2,38.56
428,944,2024-12-30,Entregue,Marketplace,8400.43,31.55
429,967,2025-06-04,Entregue,Website,12856.31,12.71
430,513,2025-09-10,Entregue,Marketplace,27644.73,29.3
431,714,2026-05-31,Entregue,Marketplace,6379.93,26.25
432,218,2024-09-13,Entregue,Website,2196.43,10.05
433,82,2025-07-07,Entregue,Marketplace,179.4,4.29
434,600,2026-06-02,Entregue,Website,3509.48,23.89
435,979,2025-07-26,Entregue,Website,3840.55,33.27
436,8,2026-04-20,Entregue,Marketplace,7525.65,30.15
437,837,2026-03-17,Entregue,Website,10855.18,47.05
438,717,2025-08-20,Entregue,Website,17041.77,18.42
439,497,2026-01-16,Entregue,Marketplace,1895.58,36.96
440,965,2026-03-29,Entregue,Marketplace,2808.26,49.34
441,730,2024-09-30,Entregue,Website,32742.16,43.49
442,217,2024-08-14,Entregue,Website,7652.22,37.66
443,30,2025-05-04,Entregue,Website,5570.13,46.45
444,548,2025-01-08,Entregue,Marketplace,5877.94,4.52
445,804,2025-03-03,Entregue,Marketplace,5440.52,40.42
446,193,2026-05-20,Entregue,Website,7616.2,28.64
447,868,2026-04-27,Entregue,Marketplace,7307.66,48.99
448,836,2024-10-15,Entregue,Marketplace,25955.89,41.86
449,647,2026-05-27,Entregue,Website,15706.68,24.75
450,745,2026-02-27,Entregue,Marketplace,4886.18,14.96
451,776,2025-12-09,Entregue,Marketplace,26675.43,19.55
452,713,2026-04-26,Entregue,Marketplace,4560.47,14.55
453,590,2025-09-05,Entregue,Website,4983.52,33.92
454,184,2026-07-29,Enviado,Website,10828.13,49.01
455,669,2026-05-21,Entregue,Marketplace,1573.14,38.79
456,648,2025-01-08,Entregue,Marketplace,1436.53,18.37
457,931,2025-02-08,Entregue,Website,21532.64,1.15
458,21,2025-08-18,Entregue,Marketplace,5825.57,27.8
459,90,2024-10-09,Entregue,Marketplace,3371.05,42.57
460,373,2024-08-17,Entregue,Website,85.78,21.15
461,927,2025-11-19,Entregue,Marketplace,13798.33,32.96
462,193,2025-02-15,Entregue,Website,13498.54,14.99
463,433,2025-10-14,Entregue,Website,4533.46,27.49
464,73,2025-02-05,Entregue,Marketplace,4595.94,49.77
465,445,2025-03-03,Entregue,Marketplace,6672.16,1.3
466,993,2025-07-25,Entregue,Website,1744.78,18.93
467,897,2025-04-11,Entregue,Marketplace,13119.8,29.44
468,695,2024-08-24,Entregue,Marketplace,3867.54,23.84
469,147,2026-01-14,Entregue,Marketplace,12215.11,28.38
470,818,2026-03-05,Entregue,Marketplace,3428.9,25.11
471,866,2025-04-23,Entregue,Website,71.59,31.73
472,762,2025-01-18,Entregue,Marketplace,22035.28,27.71
