item_id,order_id,product_id,quantity,unit_price,total_price
62,20,23,3,929.31,2787.93
63,20,27,1,447.25,447.25
64,20,17,3,119.37,358.11
65,20,25,3,1379.46,4138.38
66,20,32,2,1034.84,2069.68
67,21,18,2,175.11,350.22
68,21,24,2,753.86,1507.72
69,21,2,3,1517.6,4552.81
70,21,22,1,772.56,772.56
71,22,18,1,175.11,175.11
72,22,27,2,514.43,1028.86
73,22,6,3,3328.48,9985.44
74,23,5,3,1193.52,3580.56
75,23,20,1,61.02,61.02
76,24,4,1,3280.07,3280.07
77,24,16,2,42.47,84.94
78,25,26,2,480.49,960.98
79,25,8,1,1725.85,1725.85
80,25,2,2,1955.12,3910.24
81,25,16,2,42.47,84.94
82,25,24,2,753.86,1507.72
83,26,4,3,3280.07,9840.21
84,26,11,1,772.38,772.38
85,26,14,2,884.72,1769.44
86,26,15,3,287.02,861.06
87,27,15,2,373.87,747.74
88,28,28,2,1074.23,2148.46
89,28,25,2,1379.46,2758.92
90,28,23,3,929.31,2787.93
91,29,19,2,110.46,220.91
92,29,20,3,61.02,183.06
93,29,7,2,3807.28,7614.56
94,30,16,3,36.12,108.37
95,30,4,2,3280.07,6560.14
96,30,26,2,480.49,960.98
97,30,21,3,1417.94,4253.83
98,30,9,3,4199.61,12598.83
99,31,23,3,929.31,2787.93
100,31,33,1,1384.64,1384.64
101,31,20,2,54.81,109.62
102,31,11,3,772.38,2317.14
103,32,23,3,929.31,2787.93
104,32,15,2,373.87,747.74
105,33,30,1,511.45,511.45
106,33,8,3,1725.85,5177.55
107,33,31,3,1098.67,3296.0
108,34,34,1,461.88,461.88
109,34,20,2,61.02,122.04
110,34,27,2,399.98,799.96
111,34,4,1,3280.07,3280.07
112,35,21,1,1754.04,1754.04
113,35,4,1,3280.07,3280.07
114,36,9,3,4199.61,12598.83
115,37,25,1,1379.46,1379.46
116,37,1,1,3485.59,3485.59
117,37,3,3,3171.58,9514.74
118,37,35,3,907.85,2723.55
119,38,25,3,1379.46,4138.38
120,39,19,3,146.82,440.46
121,39,30,2,511.45,1022.9
122,39,34,1,507.59,507.59
123,40,11,1,772.38,772.38
124,40,26,3,480.49,1441.47
125,41,8,3,1725.85,5177.55
126,41,24,1,753.86,753.86
127,42,4,2,3280.07,6560.14
128,42,7,3,3807.28,11421.84
129,42,2,3,1585.53,4756.58
130,42,8,3,1494.29,4482.86
131,42,27,1,514.43,514.43
132,43,33,3,1384.64,4153.92
133,44,13,3,945.88,2837.64
134,44,17,1,101.55,101.55
135,44,34,1,507.59,507.59
136,44,23,2,929.31,1858.62
137,45,32,1,1034.84,1034.84
138,46,17,3,119.37,358.11
139,47,12,1,1597.94,1597.94
140,48,7,1,3511.53,3511.53
141,49,18,1,152.34,152.34
142,49,6,2,3328.48,6656.96
143,49,24,2,753.86,1507.72
144,49,22,2,772.56,1545.12
145,50,11,1,772.38,772.38
146,51,12,3,1597.94,4793.82
147,51,25,3,1379.46,4138.38
148,51,23,1,929.31,929.31
149,51,2,2,1696.54,3393.08
150,52,1,3,3485.59,10456.77
151,52,34,3,507.59,1522.77
152,52,15,3,373.87,1121.61
153,53,10,3,4184.44,12553.32
154,53,4,2,3280.07,6560.14
155,53,1,1,3485.59,3485.59
156,53,11,2,772.38,1544.76
157,54,25,1,1187.94,1187.94
158,54,26,3,480.49,1441.47
159,55,32,3,1034.84,3104.52
160,56,1,3,3485.59,10456.77
161,56,6,2,3328.48,6656.96
162,56,20,1,61.02,61.02
163,56,33,2,1384.64,2769.28
164,56,14,3,884.72,2654.16
165,57,7,3,3807.28,11421.84
166,58,34,1,507.59,507.59
167,58,24,2,608.09,1216.17
168,58,7,3,3807.28,11421.84
169,59,14,1,884.72,884.72
170,59,30,1,511.45,511.45
171,59,13,3,945.88,2837.64
172,59,22,2,772.56,1545.12
173,60,34,3,387.26,1161.78
174,61,12,1,1597.94,1597.94
175,61,9,3,4199.61,12598.83
176,62,16,2,42.47,84.94
177,62,18,1,175.11,175.11
178,62,26,3,480.49,1441.47
179,62,22,3,772.56,2317.68
180,62,19,3,146.82,440.46
181,63,19,3,146.82,440.46
182,63,23,2,929.31,1858.62
183,63,9,2,4199.61,8399.22
184,63,12,3,1597.94,4793.82
185,63,33,3,1384.64,4153.92
186,64,1,2,2844.06,5688.13
187,64,34,1,507.59,507.59
188,64,7,1,3807.28,3807.28
189,64,2,3,1955.12,5865.36
190,65,14,2,884.72,1769.44
191,65,35,1,907.85,907.85
192,65,3,3,3893.18,11679.54
193,66,25,2,1379.46,2758.92
194,66,16,3,42.47,127.41
195,66,33,3,1109.46,3328.39
196,66,19,1,146.82,146.82
197,66,4,2,3280.07,6560.14
198,67,13,1,945.88,945.88
199,67,19,3,146.82,440.46
200,67,29,2,1126.15,2252.31
201,67,12,2,1331.41,2662.82
202,67,5,2,1022.53,2045.06
203,68,4,3,3280.07,9840.21
204,68,20,1,61.02,61.02
205,68,32,2,1034.84,2069.68
206,69,11,2,772.38,1544.76
207,69,27,1,514.43,514.43
208,69,35,2,907.85,1815.7
209,69,26,1,480.49,480.49
210,69,6,3,3328.48,9985.44
211,70,29,3,1259.43,3778.29
212,70,16,2,42.47,84.94
213,70,3,1,3893.18,3893.18
214,71,24,2,753.86,1507.72
215,71,33,1,1384.64,1384.64
216,71,29,1,1259.43,1259.43
217,71,32,1,1034.84,1034.84
218,71,3,3,3893.18,11679.54
219,72,28,1,1074.23,1074.23
220,72,7,3,3807.28,11421.84
221,73,10,1,4184.44,4184.44
222,74,12,2,1597.94,3195.88
223,75,25,2,1124.73,2249.46
224,75,29,3,1015.03,3045.09
225,75,26,1,480.49,480.49
226,75,28,3,838.28,2514.83
227,76,6,2,3328.48,6656.96
228,76,19,3,134.89,404.67
229,76,29,1,1097.97,1097.97
230,77,20,1,61.02,61.02
231,77,24,3,709.87,2129.61
232,78,20,1,61.02,61.02
233,79,10,1,3413.68,3413.68
234,79,11,3,772.38,2317.14
235,79,12,3,1597.94,4793.82
236,79,15,3,304.95,914.86
237,79,17,2,96.08,192.16
238,80,7,3,3469.58,10408.73
239,80,19,2,146.82,293.64
240,81,24,2,668.94,1337.89
241,81,21,1,1754.04,1754.04
242,82,9,2,4199.61,8399.22
243,82,22,2,772.56,1545.12
244,82,31,1,1179.15,1179.15
245,83,17,3,112.96,338.87
246,83,5,3,1193.52,3580.56
247,84,3,3,3893.18,11679.54
248,84,17,3,119.37,358.11
249,85,19,2,146.82,293.64
250,85,9,1,4199.61,4199.61
251,86,11,3,772.38,2317.14
252,86,33,3,1384.64,4153.92
253,86,9,1,4199.61,4199.61
254,86,29,2,1259.43,2518.86
255,86,12,1,1597.94,1597.94
256,87,15,3,373.87,1121.61
257,87,3,2,3893.18,7786.36
258,87,14,2,884.72,1769.44
259,88,18,3,175.11,525.33
260,88,17,3,119.37,358.11
261,88,35,1,907.85,907.85
262,88,12,2,1597.94,3195.88
263,88,25,1,1379.46,1379.46
264,89,1,1,3485.59,3485.59
265,89,33,3,1384.64,4153.92
266,89,9,1,3857.46,3857.46
267,89,29,3,1259.43,3778.29
268,90,8,3,1351.9,4055.71
269,90,31,1,1422.93,1422.93
270,90,14,1,884.72,884.72
271,91,4,2,3280.07,6560.14
272,91,11,3,772.38,2317.14
273,92,6,3,3328.48,9985.44
274,92,14,2,693.56,1387.11
275,92,29,3,1049.7,3149.09
276,93,17,1,119.37,119.37
277,93,11,1,702.5,702.5
278,93,22,3,772.56,2317.68
279,93,30,1,511.45,511.45
280,93,5,1,1193.52,1193.52
281,94,33,3,1384.64,4153.92
282,94,8,1,1725.85,1725.85
283,94,6,3,3328.48,9985.44
284,94,31,3,1422.93,4268.79
285,94,9,1,4199.61,4199.61
286,95,25,1,1379.46,1379.46
287,95,23,1,929.31,929.31
288,95,7,1,3807.28,3807.28
289,95,28,3,1074.23,3222.69
290,96,34,1,507.59,507.59
291,97,10,2,4184.44,8368.88
292,98,24,2,753.86,1507.72
293,98,18,3,175.11,525.33
294,98,26,2,480.49,960.98
295,98,14,2,884.72,1769.44
296,99,9,3,4199.61,12598.83
297,99,8,1,1725.85,1725.85
298,99,15,2,373.87,747.74
299,99,29,3,1259.43,3778.29
300,100,6,1,3328.48,3328.48
301,101,15,3,326.44,979.32
302,101,24,2,753.86,1507.72
303,101,6,3,3328.48,9985.44
304,102,32,1,1034.84,1034.84
305,102,29,3,1259.43,3778.29
306,103,33,2,1384.64,2769.28
307,103,34,1,507.59,507.59
308,103,15,1,373.87,373.87
309,103,11,2,772.38,1544.76
310,103,3,2,3893.18,7786.36
311,104,6,3,3328.48,9985.44
312,105,15,2,373.87,747.74
313,105,13,2,802.82,1605.64
314,105,30,3,455.78,1367.34
315,106,35,2,907.85,1815.7
316,106,17,1,119.37,119.37
317,106,29,2,1259.43,2518.86
318,107,5,3,1193.52,3580.56
319,107,25,2,1379.46,2758.92
320,107,15,2,373.87,747.74
321,108,26,3,480.49,1441.47
322,109,31,2,1422.93,2845.86
323,109,21,3,1754.04,5262.12
324,110,16,1,42.47,42.47
325,110,17,1,119.37,119.37
326,111,6,3,3328.48,9985.44
327,112,3,3,3893.18,11679.54
328,112,31,2,1134.29,2268.57
329,112,24,3,753.86,2261.58
330,112,21,1,1754.04,1754.04
331,112,32,1,817.67,817.67
332,113,12,2,1597.94,3195.88
333,113,30,1,464.32,464.32
334,113,8,3,1514.74,4544.23
335,113,34,2,455.53,911.05
336,114,24,2,753.86,1507.72
337,114,12,3,1597.94,4793.82
338,114,32,2,1034.84,2069.68
339,115,15,3,373.87,1121.61
340,115,7,1,3807.28,3807.28
341,116,31,1,1422.93,1422.93
342,116,1,1,3485.59,3485.59
343,117,17,1,119.37,119.37
344,117,4,1,3280.07,3280.07
345,117,26,2,480.49,960.98
346,118,17,1,119.37,119.37
347,118,24,2,753.86,1507.72
348,118,23,3,775.81,2327.42
349,119,23,2,929.31,1858.62
350,119,21,2,1754.04,3508.08
351,119,33,2,1384.64,2769.28
352,120,27,1,465.23,465.23
353,120,26,2,480.49,960.98
354,120,5,3,1193.52,3580.56
355,121,24,1,712.68,712.68
356,121,34,3,507.59,1522.77
357,121,29,2,1259.43,2518.86
358,121,27,3,514.43,1543.29
359,122,5,2,1193.52,2387.04
360,123,7,2,3807.28,7614.56
361,124,19,3,124.01,372.04
362,124,29,1,1029.32,1029.32
363,125,35,3,907.85,2723.55
364,125,18,3,175.11,525.33
365,125,29,3,1259.43,3778.29
366,125,9,3,4199.61,12598.83
367,126,35,2,907.85,1815.7
368,126,15,2,354.39,708.77
369,126,6,3,3328.48,9985.44
370,126,29,1,1259.43,1259.43
371,127,31,2,1422.93,2845.86
372,127,20,1,61.02,61.02
373,127,1,1,3485.59,3485.59
374,127,28,3,1074.23,3222.69
375,128,17,2,119.37,238.74
376,128,6,3,3328.48,9985.44
377,129,18,1,175.11,175.11
378,129,27,3,514.43,1543.29
379,129,13,2,945.88,1891.76
380,129,5,3,1193.52,3580.56
381,129,12,2,1502.18,3004.36
382,130,19,2,126.61,253.21
383,131,32,1,1034.84,1034.84
384,132,3,1,3893.18,3893.18
385,132,22,2,661.29,1322.58
386,132,6,1,3328.48,3328.48
387,132,10,2,4184.44,8368.88
388,133,25,1,1379.46,1379.46
389,133,29,1,1011.24,1011.24
390,134,21,3,1754.04,5262.12
391,134,11,3,659.42,1978.27
392,134,3,2,3007.47,6014.93
393,135,28,1,961.2,961.2
394,135,21,1,1754.04,1754.04
395,136,31,1,1422.93,1422.93
396,136,10,3,4184.44,12553.32
397,136,24,3,662.56,1987.69
398,136,6,1,3328.48,3328.48
399,136,16,1,38.37,38.37
400,137,13,3,728.58,2185.74
401,137,2,2,1955.12,3910.24
402,137,25,3,1379.46,4138.38
403,137,23,3,929.31,2787.93
404,138,30,1,511.45,511.45
405,138,18,2,175.11,350.22
406,138,11,2,772.38,1544.76
407,139,25,2,1379.46,2758.92
408,139,12,3,1597.94,4793.82
409,139,2,2,1590.21,3180.41
410,139,24,3,673.48,2020.44
411,139,16,2,42.47,84.94
412,140,3,1,3674.17,3674.17
413,141,25,3,1379.46,4138.38
414,142,5,1,1193.52,1193.52
415,142,1,1,3485.59,3485.59
416,143,24,1,753.86,753.86
417,143,4,2,2974.43,5948.87
418,143,18,3,140.96,422.87
419,143,34,3,507.59,1522.77
420,144,27,3,514.43,1543.29
421,144,7,3,3807.28,11421.84
422,145,12,3,1597.94,4793.82
423,145,26,1,480.49,480.49
424,146,21,3,1754.04,5262.12
425,146,24,3,753.86,2261.58
426,146,27,1,514.43,514.43
427,147,24,1,753.86,753.86
428,147,29,2,1259.43,2518.86
429,147,26,3,370.91,1112.72
430,148,21,3,1754.04,5262.12
431,148,2,3,1955.12,5865.36
432,149,23,2,929.31,1858.62
433,149,10,1,4184.44,4184.44
434,149,9,2,3653.83,7307.66
435,149,17,1,119.37,119.37
436,150,32,3,1034.84,3104.52
437,150,7,1,3807.28,3807.28
438,151,22,2,772.56,1545.12
439,152,15,3,373.87,1121.61
440,153,4,2,3280.07,6560.14
441,153,20,1,61.02,61.02
442,153,34,3,507.59,1522.77
443,153,3,1,3893.18,3893.18
444,154,33,2,1222.31,2444.63
445,154,6,2,3328.48,6656.96
446,154,15,1,373.87,373.87
447,154,28,2,912.7,1825.41
448,154,19,3,135.52,406.56
449,155,13,2,945.88,1891.76
450,155,34,3,414.02,1242.05
451,155,16,2,42.47,84.94
452,155,5,1,1193.52,1193.52
453,155,18,3,175.11,525.33
454,156,29,1,1102.3,1102.3
455,156,10,3,4184.44,12553.32
456,156,3,1,3893.18,3893.18
457,157,1,2,3485.59,6971.18
458,157,22,1,772.56,772.56
459,157,8,3,1725.85,5177.55
460,158,10,2,3737.53,7475.06
461,158,2,3,1955.12,5865.36
462,158,25,1,1379.46,1379.46
463,158,34,1,415.17,415.17
464,158,3,3,3893.18,11679.54
465,159,19,3,146.82,440.46
466,160,35,3,907.85,2723.55
467,160,6,3,3328.48,9985.44
468,160,12,1,1223.3,1223.3
469,160,13,2,945.88,1891.76
470,161,23,3,929.31,2787.93
471,161,20,1,61.02,61.02
472,161,16,2,42.47,84.94
473,162,15,2,373.87,747.74
474,162,10,1,4184.44,4184.44
475,162,22,3,772.56,2317.68
476,163,10,3,3429.17,10287.51
477,163,28,3,1074.23,3222.69
478,163,20,1,61.02,61.02
479,163,22,2,772.56,1545.12
480,163,29,3,1259.43,3778.29
481,164,11,1,772.38,772.38
482,164,21,1,1754.04,1754.04
483,164,5,2,1193.52,2387.04
484,164,35,2,907.85,1815.7
485,164,8,2,1725.85,3451.7
486,165,7,1,2866.15,2866.15
487,165,9,3,4199.61,12598.83
488,166,2,1,1955.12,1955.12
489,166,23,2,725.58,1451.16
490,167,32,1,1034.84,1034.84
491,167,31,2,1422.93,2845.86
492,167,9,1,4199.61,4199.61
493,167,11,2,772.38,1544.76
494,168,12,2,1597.94,3195.88
495,169,28,1,1074.23,1074.23
496,169,26,2,480.49,960.98
497,170,30,3,511.45,1534.35
498,170,3,3,3396.88,10190.64
499,170,16,3,42.47,127.41
500,170,34,1,507.59,507.59
501,171,30,2,511.45,1022.9
502,171,11,1,772.38,772.38
503,171,28,1,1074.23,1074.23
504,172,12,3,1597.94,4793.82
505,173,29,2,1259.43,2518.86
506,173,2,3,1955.12,5865.36
507,173,12,2,1414.47,2828.95
508,174,6,1,3328.48,3328.48
509,175,33,1,1384.64,1384.64
510,175,11,3,772.38,2317.14
511,175,25,1,1270.59,1270.59
512,175,3,3,3458.65,10375.96
513,176,8,1,1375.37,1375.37
514,176,9,1,4199.61,4199.61
515,177,32,1,1034.84,1034.84
516,178,6,3,3328.48,9985.44
517,178,1,1,3207.96,3207.96
518,178,16,3,42.47,127.41
519,178,18,1,175.11,175.11
520,179,4,1,3280.07,3280.07
521,180,12,2,1597.94,3195.88
522,180,30,2,511.45,1022.9
523,180,24,2,753.86,1507.72
524,180,3,1,3893.18,3893.18
525,180,6,1,2589.95,2589.95
526,181,4,3,3280.07,9840.21
527,181,7,3,3807.28,11421.84
528,182,19,3,146.82,440.46
529,182,28,2,1074.23,2148.46
530,182,21,3,1754.04,5262.12
531,182,17,3,119.37,358.11
532,182,34,2,507.59,1015.18
533,183,1,1,3485.59,3485.59
534,183,8,1,1725.85,1725.85
535,184,14,3,884.72,2654.16
536,184,1,1,3485.59,3485.59
537,184,13,3,945.88,2837.64
538,185,22,1,605.1,605.1
539,185,26,3,480.49,1441.47
540,185,2,2,1955.12,3910.24
541,186,35,3,767.85,2303.54
542,186,22,3,772.56,2317.68
543,186,30,2,511.45,1022.9
544,186,27,1,514.43,514.43
545,187,5,1,1193.52,1193.52
546,187,10,2,4184.44,8368.88
547,187,18,1,175.11,175.11
548,188,21,2,1358.66,2717.32
549,188,3,2,3893.18,7786.36
550,188,18,2,175.11,350.22
551,189,13,1,945.88,945.88
552,190,13,2,945.88,1891.76
553,190,22,3,772.56,2317.68
554,191,34,3,507.59,1522.77
555,192,8,2,1725.85,3451.7
556,192,1,1,2777.19,2777.19
557,192,20,3,61.02,183.06
558,192,3,3,3893.18,11679.54
559,192,6,3,3328.48,9985.44
560,193,35,3,835.35,2506.04
561,193,21,2,1330.16,2660.32
562,193,29,3,1259.43,3778.29
563,194,10,1,3461.99,3461.99
564,194,19,2,146.82,293.64
565,194,16,1,36.35,36.35
566,195,6,2,3328.48,6656.96
567,196,22,1,772.56,772.56
568,196,13,2,945.88,1891.76
569,196,35,1,907.85,907.85
570,197,30,1,394.26,394.26
571,197,31,2,1422.93,2845.86
572,197,15,2,286.59,573.18
573,198,5,2,1019.59,2039.18
574,199,9,2,4199.61,8399.22
575,199,33,1,1384.64,1384.64
576,199,7,3,3386.87,10160.6
577,200,16,2,42.47,84.94
578,200,11,2,772.38,1544.76
579,201,22,3,772.56,2317.68
580,201,35,3,907.85,2723.55
581,201,16,3,42.47,127.41
582,201,12,1,1597.94,1597.94
583,202,12,3,1257.88,3773.63
584,202,20,2,61.02,122.04
585,202,26,3,480.49,1441.47
586,202,5,1,1193.52,1193.52
587,203,29,2,1259.43,2518.86
588,203,35,3,907.85,2723.55
589,204,28,3,808.59,2425.77
590,204,23,2,929.31,1858.62
591,204,6,2,2562.21,5124.43
592,205,23,2,929.31,1858.62
593,205,8,2,1725.85,3451.7
594,205,19,3,146.82,440.46
595,205,2,2,1955.12,3910.24
596,205,16,1,42.47,42.47
597,206,24,3,714.42,2143.25
598,206,27,3,414.49,1243.48
599,206,10,2,4184.44,8368.88
600,206,19,1,120.62,120.62
601,207,28,2,1074.23,2148.46
602,207,12,1,1597.94,1597.94
603,207,30,1,511.45,511.45
604,207,33,3,1384.64,4153.92
605,207,29,3,1259.43,3778.29
606,208,31,3,1422.93,4268.79
607,209,10,3,4184.44,12553.32
608,210,34,3,434.25,1302.74
609,211,20,2,61.02,122.04
610,211,4,2,3280.07,6560.14
611,211,22,2,772.56,1545.12
612,211,35,2,907.85,1815.7
613,211,1,1,3485.59,3485.59
614,212,17,3,119.37,358.11
615,212,4,2,3280.07,6560.14
616,212,31,1,1422.93,1422.93
617,212,11,2,772.38,1544.76
618,212,19,3,146.82,440.46
619,213,12,3,1597.94,4793.82
620,214,17,2,100.81,201.62
621,214,16,1,42.47,42.47
622,215,32,2,1034.84,2069.68
623,215,27,2,514.43,1028.86
624,216,4,1,2854.48,2854.48
625,216,17,2,119.37,238.74
626,216,8,3,1725.85,5177.55
627,217,34,1,507.59,507.59
628,217,28,2,1074.23,2148.46
629,218,23,2,929.31,1858.62
630,218,28,2,1074.23,2148.46
631,218,18,3,175.11,525.33
632,218,22,3,772.56,2317.68
633,218,7,1,3807.28,3807.28
634,219,1,1,3243.2,3243.2
635,220,17,1,119.37,119.37
636,220,13,1,945.88,945.88
637,220,3,3,3893.18,11679.54
638,221,6,3,2725.1,8175.29
639,222,17,2,119.37,238.74
640,222,19,1,146.82,146.82
641,223,17,2,119.37,238.74
642,223,11,2,772.38,1544.76
643,223,5,1,1193.52,1193.52
644,224,32,1,1034.84,1034.84
645,225,28,1,1005.39,1005.39
646,225,14,3,884.72,2654.16
647,225,7,2,3237.94,6475.88
648,225,29,3,1259.43,3778.29
649,225,17,1,119.37,119.37
650,226,1,2,3485.59,6971.18
651,226,33,3,1384.64,4153.92
652,226,32,1,1034.84,1034.84
653,226,31,1,1422.93,1422.93
654,227,23,3,929.31,2787.93
655,227,22,3,651.33,1953.98
656,227,20,2,52.36,104.72
657,227,26,2,480.49,960.98
658,227,4,1,3280.07,3280.07
659,228,25,2,1135.9,2271.81
660,228,7,3,3589.73,10769.2
661,228,23,1,929.31,929.31
662,229,35,3,907.85,2723.55
663,230,3,2,3085.13,6170.26
664,231,30,1,511.45,511.45
665,231,35,2,907.85,1815.7
666,231,10,2,4184.44,8368.88
667,231,15,3,302.74,908.21
668,231,5,1,982.83,982.83
669,232,30,3,425.42,1276.26
670,233,15,3,373.87,1121.61
671,233,5,2,970.55,1941.1
672,233,13,3,740.35,2221.06
673,233,28,1,1074.23,1074.23
674,233,22,3,724.16,2172.49
675,234,24,2,753.86,1507.72
676,234,11,3,718.32,2154.96
677,235,32,1,945.97,945.97
678,236,9,3,4199.61,12598.83
679,236,14,1,884.72,884.72
680,236,10,3,4184.44,12553.32
681,236,18,3,148.85,446.54
682,237,23,3,929.31,2787.93
683,237,27,1,514.43,514.43
684,237,1,1,3485.59,3485.59
685,238,18,1,161.13,161.13
686,238,4,2,3280.07,6560.14
687,239,19,2,146.82,293.64
688,239,14,2,709.47,1418.94
689,239,28,3,851.76,2555.28
690,240,29,2,1025.97,2051.94
691,240,21,2,1754.04,3508.08
692,241,27,2,514.43,1028.86
693,241,13,1,945.88,945.88
694,242,14,1,884.72,884.72
695,242,30,1,511.45,511.45
696,243,22,1,772.56,772.56
697,243,9,1,4199.61,4199.61
698,244,22,2,772.56,1545.12
699,244,15,3,373.87,1121.61
700,245,32,1,1034.84,1034.84
701,245,14,3,884.72,2654.16
702,245,31,1,1422.93,1422.93
703,245,30,3,511.45,1534.35
704,245,18,3,175.11,525.33
705,246,3,2,3893.18,7786.36
706,247,31,1,1137.47,1137.47
707,247,7,3,3807.28,11421.84
708,247,29,1,1121.95,1121.95
709,247,32,3,1034.84,3104.52
710,248,30,2,511.45,1022.9
711,248,2,1,1955.12,1955.12
712,249,30,2,511.45,1022.9
713,249,1,2,3485.59,6971.18
714,249,5,2,1193.52,2387.04
715,250,22,3,772.56,2317.68
716,251,25,2,1379.46,2758.92
717,252,5,3,1019.63,3058.88
718,252,14,3,884.72,2654.16
719,252,9,3,4199.61,12598.83
720,252,22,3,772.56,2317.68
721,252,16,2,42.47,84.94
722,253,24,2,753.86,1507.72
723,254,35,1,907.85,907.85
724,254,19,2,128.01,256.01
725,254,29,1,1259.43,1259.43
726,254,24,1,674.56,674.56
727,254,5,3,1097.92,3293.76
728,255,9,3,4199.61,12598.83
729,255,31,2,1345.51,2691.02
730,255,23,1,929.31,929.31
731,255,27,3,514.43,1543.29
732,255,29,2,1259.43,2518.86
733,256,29,2,1259.43,2518.86
734,256,30,2,511.45,1022.9
735,256,20,1,54.5,54.5
736,256,9,1,4199.61,4199.61
737,256,11,1,772.38,772.38
738,257,11,1,684.85,684.85
739,257,16,1,42.47,42.47
740,258,21,2,1509.03,3018.05
741,259,2,2,1955.12,3910.24
742,260,10,3,4184.44,12553.32
743,260,1,3,3485.59,10456.77
744,260,35,2,907.85,1815.7
745,261,22,1,772.56,772.56
746,261,8,1,1725.85,1725.85
747,261,31,2,1422.93,2845.86
748,261,3,1,3893.18,3893.18
749,262,34,2,473.72,947.45
750,262,15,2,373.87,747.74
751,263,13,1,945.88,945.88
752,263,32,2,1034.84,2069.68
753,263,21,3,1754.04,5262.12
754,263,33,2,1384.64,2769.28
755,264,29,3,1259.43,3778.29
756,264,6,3,3328.48,9985.44
757,264,14,2,884.72,1769.44
758,265,9,2,4199.61,8399.22
759,265,6,3,3328.48,9985.44
760,265,10,1,4184.44,4184.44
761,265,14,3,884.72,2654.16
762,266,27,3,514.43,1543.29
763,266,12,1,1252.06,1252.06
764,266,30,2,511.45,1022.9
765,267,32,1,1034.84,1034.84
766,267,30,1,511.45,511.45
767,267,15,3,373.87,1121.61
768,268,27,3,514.43,1543.29
769,268,12,1,1429.45,1429.45
770,268,32,1,1034.84,1034.84
771,269,31,3,1422.93,4268.79
772,269,8,1,1725.85,1725.85
773,269,24,1,753.86,753.86
774,270,23,1,929.31,929.31
775,270,11,2,772.38,1544.76
776,271,34,1,507.59,507.59
777,271,5,1,1193.52,1193.52
778,271,33,3,1384.64,4153.92
779,272,18,3,175.11,525.33
780,272,24,1,638.04,638.04
781,272,7,2,3807.28,7614.56
782,273,7,1,3807.28,3807.28
783,273,14,1,884.72,884.72
784,274,8,1,1725.85,1725.85
785,275,9,2,3733.72,7467.44
786,275,29,3,1259.43,3778.29
787,275,34,1,411.73,411.73
788,276,9,2,4199.61,8399.22
789,276,6,1,2646.35,2646.35
790,277,3,3,3893.18,11679.54
791,278,3,3,3623.38,10870.14
792,278,5,1,1193.52,1193.52
793,278,20,1,61.02,61.02
794,279,6,1,3328.48,3328.48
795,280,23,3,929.31,2787.93
796,280,11,3,772.38,2317.14
797,280,33,1,1384.64,1384.64
798,281,19,3,118.18,354.54
799,281,11,1,772.38,772.38
800,282,12,2,1597.94,3195.88
801,282,29,1,1259.43,1259.43
802,282,7,2,3532.92,7065.83
803,282,23,1,929.31,929.31
804,282,25,2,1379.46,2758.92
805,283,8,3,1725.85,5177.55
806,283,25,3,1379.46,4138.38
807,283,19,2,146.82,293.64
808,283,30,2,511.45,1022.9
809,284,31,3,1422.93,4268.79
